timestamp,ssid,bssid,frequency,rss,wifiNo,legit
2313745729616,mlvrlab,90:9f:33:a9:09:42,2442,-63,539,false
2313745666909,eduroam,24:de:c6:e3:40:91,5785,-79,539,false
2313745373370,eduroam,d8:c7:c8:df:21:70,5220,-61,539,false
2313745373854,Welcome_KAIST,d8:c7:c8:df:21:71,5220,-61,539,false
2313745544475,mlvrlab5G,90:9f:33:a8:09:42,5745,-75,539,false
2313745632343,ISNL1,2c:56:dc:84:e6:a8,2437,-69,539,false
2313745167705,eduroam,24:de:c6:e3:40:81,2412,-77,539,false
2313745628085,sungju5G,88:36:6c:ad:18:74,5765,-55,540,false
2313745318360,DIRECT-72-HP M479dw Color LJ,3a:ca:84:36:96:72,2422,-81,540,false
2313745511869,iptime2434-5g,90:9f:33:d7:ac:fa,5745,-77,540,false
2313745509350,SGVR,70:5d:cc:e3:01:36,2432,-82,540,false
2313745205813,Welcome_KAIST,d8:c7:c8:df:02:91,5180,-74,540,false
2313745205735,eduroam,d8:c7:c8:df:02:90,5180,-73,540,false
2313746037444,LOD2,8a:4e:c1:3a:a1:10,2462,-47,540,false
2313745712502,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:67,5785,-76,540,false
2313746058018,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:66,2462,-70,540,false
2313745716024,LOD2,8a:4f:c1:3a:a1:10,5785,-68,540,false
2313745206654,Lee2435_5G-2,70:5d:cc:dc:82:07,5180,-67,540,false
2313745237186,sungju,8a:36:6c:cd:18:74,2417,-53,540,false
2313745546189,Lee2435_5G-1,70:5d:cc:dc:82:09,5745,-66,540,false
2313745845484,SWTV2438,d4:5d:64:a0:6c:c0,2452,-67,540,false
2313745645711,DIRECT-TvDESKTOP-D7VMR5Nms9y,16:18:c3:9e:8f:c2,2437,-75,540,false
2313746051374,Lee2435,70:5d:cc:dc:82:05,2462,-50,540,false
2313746441587,SWTV2438-5G,d4:5d:64:a0:6c:c4,5500,-82,540,true
2313745645577,DIRECT-51-HP M254 LaserJet,da:9c:67:d2:04:51,2437,-55,540,false
2313746025028,one8sky,88:1f:a1:3a:c1:4e,2462,-49,540,false
2313745715515,LOD2,88:1f:a1:3a:c1:4f,5785,-67,540,false
2313745797300,lemontree,60:38:e0:c4:e8:9a,5805,-54,540,false
2313745797772,kaist_nlp,60:38:e0:c4:e8:9b,5805,-54,540,false
2313746065943,kaist_nlp,60:38:e0:c4:e8:9c,2462,-57,540,false
2313745604483,DIRECT-25-HP ,16:cb:19:13:89:25,2437,-75,540,false
2313746073024,lemontree,60:38:e0:c4:e8:99,2462,-57,540,false
2313745207054,[cuberef]_E30AJT5503076V,40:ca:63:77:80:5b,2412,-64,540,false
2313745793499,iptime2434,90:9f:33:d7:ac:f8,2447,-56,540,false
2313745625006,HP-Print-ac-LaserJet 500,2c:6f:c9:1e:1f:ac,2437,-58,540,false
2313745567258,Welcome_KAIST,24:de:c6:ec:59:80,2437,-84,540,false
2313745568994,eduroam,24:de:c6:ec:59:81,2437,-84,540,false
2313745974365,SWTV_2436,00:26:66:87:04:b4,2457,-74,540,false
2313745509761,AL3436_5G,58:86:94:59:1c:82,5745,-80,540,false
2313745666584,Welcome_KAIST,24:de:c6:e3:40:90,5785,-79,540,false
2313745365520,AL3436,58:86:94:59:1c:80,2422,-66,540,false
2313745293618,DMBig,72:5d:cc:c2:c9:9c,2417,-66,540,false
2313745544622,ISNL2,2c:56:dc:84:e6:ac,5745,-84,540,false
2313745729616,mlvrlab,90:9f:33:a9:09:42,2442,-63,540,false
2313745666909,eduroam,24:de:c6:e3:40:91,5785,-79,540,false
2313745373370,eduroam,d8:c7:c8:df:21:70,5220,-61,540,false
2313745373854,Welcome_KAIST,d8:c7:c8:df:21:71,5220,-61,540,false
2313745544475,mlvrlab5G,90:9f:33:a8:09:42,5745,-75,540,false
2313745632343,ISNL1,2c:56:dc:84:e6:a8,2437,-69,540,false
2313745167705,eduroam,24:de:c6:e3:40:81,2412,-77,540,false
2313745628085,sungju5G,88:36:6c:ad:18:74,5765,-55,541,false
2313745318360,DIRECT-72-HP M479dw Color LJ,3a:ca:84:36:96:72,2422,-81,541,false
2313745511869,iptime2434-5g,90:9f:33:d7:ac:fa,5745,-77,541,false
2313745509350,SGVR,70:5d:cc:e3:01:36,2432,-82,541,false
2313745205813,Welcome_KAIST,d8:c7:c8:df:02:91,5180,-74,541,false
2313745205735,eduroam,d8:c7:c8:df:02:90,5180,-73,541,false
2313746037444,LOD2,8a:4e:c1:3a:a1:10,2462,-47,541,false
2313745712502,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:67,5785,-76,541,false
2313746058018,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:66,2462,-70,541,false
2313745716024,LOD2,8a:4f:c1:3a:a1:10,5785,-68,541,false
2313745206654,Lee2435_5G-2,70:5d:cc:dc:82:07,5180,-67,541,false
2313745237186,sungju,8a:36:6c:cd:18:74,2417,-53,541,false
2313745546189,Lee2435_5G-1,70:5d:cc:dc:82:09,5745,-66,541,false
2313745845484,SWTV2438,d4:5d:64:a0:6c:c0,2452,-67,541,false
2313745645711,DIRECT-TvDESKTOP-D7VMR5Nms9y,16:18:c3:9e:8f:c2,2437,-75,541,false
2313746051374,Lee2435,70:5d:cc:dc:82:05,2462,-50,541,false
2313746441587,SWTV2438-5G,d4:5d:64:a0:6c:c4,5500,-82,541,true
2313745645577,DIRECT-51-HP M254 LaserJet,da:9c:67:d2:04:51,2437,-55,541,false
2313746025028,one8sky,88:1f:a1:3a:c1:4e,2462,-49,541,false
2313745715515,LOD2,88:1f:a1:3a:c1:4f,5785,-67,541,false
2313745797300,lemontree,60:38:e0:c4:e8:9a,5805,-54,541,false
2313745797772,kaist_nlp,60:38:e0:c4:e8:9b,5805,-54,541,false
2313746065943,kaist_nlp,60:38:e0:c4:e8:9c,2462,-57,541,false
2313745604483,DIRECT-25-HP ,16:cb:19:13:89:25,2437,-75,541,false
2313746073024,lemontree,60:38:e0:c4:e8:99,2462,-57,541,false
2313745207054,[cuberef]_E30AJT5503076V,40:ca:63:77:80:5b,2412,-64,541,false
2313745793499,iptime2434,90:9f:33:d7:ac:f8,2447,-56,541,false
2313745625006,HP-Print-ac-LaserJet 500,2c:6f:c9:1e:1f:ac,2437,-58,541,false
2313745567258,Welcome_KAIST,24:de:c6:ec:59:80,2437,-84,541,false
2313745568994,eduroam,24:de:c6:ec:59:81,2437,-84,541,false
2313745974365,SWTV_2436,00:26:66:87:04:b4,2457,-74,541,false
2313745509761,AL3436_5G,58:86:94:59:1c:82,5745,-80,541,false
2313745666584,Welcome_KAIST,24:de:c6:e3:40:90,5785,-79,541,false
2313745365520,AL3436,58:86:94:59:1c:80,2422,-66,541,false
2313745293618,DMBig,72:5d:cc:c2:c9:9c,2417,-66,541,false
2313745544622,ISNL2,2c:56:dc:84:e6:ac,5745,-84,541,false
2313745729616,mlvrlab,90:9f:33:a9:09:42,2442,-63,541,false
2313745666909,eduroam,24:de:c6:e3:40:91,5785,-79,541,false
2313745373370,eduroam,d8:c7:c8:df:21:70,5220,-61,541,false
2313745373854,Welcome_KAIST,d8:c7:c8:df:21:71,5220,-61,541,false
2313745544475,mlvrlab5G,90:9f:33:a8:09:42,5745,-75,541,false
2313745632343,ISNL1,2c:56:dc:84:e6:a8,2437,-69,541,false
2313745167705,eduroam,24:de:c6:e3:40:81,2412,-77,541,false
2313745628085,sungju5G,88:36:6c:ad:18:74,5765,-55,542,false
2313745318360,DIRECT-72-HP M479dw Color LJ,3a:ca:84:36:96:72,2422,-81,542,false
2313745511869,iptime2434-5g,90:9f:33:d7:ac:fa,5745,-77,542,false
2313745509350,SGVR,70:5d:cc:e3:01:36,2432,-82,542,false
2313745205813,Welcome_KAIST,d8:c7:c8:df:02:91,5180,-74,542,false
2313745205735,eduroam,d8:c7:c8:df:02:90,5180,-73,542,false
2313746037444,LOD2,8a:4e:c1:3a:a1:10,2462,-47,542,false
2313745712502,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:67,5785,-76,542,false
2313746058018,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:66,2462,-70,542,false
2313745716024,LOD2,8a:4f:c1:3a:a1:10,5785,-68,542,false
2313745206654,Lee2435_5G-2,70:5d:cc:dc:82:07,5180,-67,542,false
2313745237186,sungju,8a:36:6c:cd:18:74,2417,-53,542,false
2313745546189,Lee2435_5G-1,70:5d:cc:dc:82:09,5745,-66,542,false
2313745845484,SWTV2438,d4:5d:64:a0:6c:c0,2452,-67,542,false
2313745645711,DIRECT-TvDESKTOP-D7VMR5Nms9y,16:18:c3:9e:8f:c2,2437,-75,542,false
2313746051374,Lee2435,70:5d:cc:dc:82:05,2462,-50,542,false
2313746441587,SWTV2438-5G,d4:5d:64:a0:6c:c4,5500,-82,542,true
2313745645577,DIRECT-51-HP M254 LaserJet,da:9c:67:d2:04:51,2437,-55,542,false
2313746025028,one8sky,88:1f:a1:3a:c1:4e,2462,-49,542,false
2313745715515,LOD2,88:1f:a1:3a:c1:4f,5785,-67,542,false
2313745797300,lemontree,60:38:e0:c4:e8:9a,5805,-54,542,false
2313745797772,kaist_nlp,60:38:e0:c4:e8:9b,5805,-54,542,false
2313746065943,kaist_nlp,60:38:e0:c4:e8:9c,2462,-57,542,false
2313745604483,DIRECT-25-HP ,16:cb:19:13:89:25,2437,-75,542,false
2313746073024,lemontree,60:38:e0:c4:e8:99,2462,-57,542,false
2313745207054,[cuberef]_E30AJT5503076V,40:ca:63:77:80:5b,2412,-64,542,false
2313745793499,iptime2434,90:9f:33:d7:ac:f8,2447,-56,542,false
2313745625006,HP-Print-ac-LaserJet 500,2c:6f:c9:1e:1f:ac,2437,-58,542,false
2313745567258,Welcome_KAIST,24:de:c6:ec:59:80,2437,-84,542,false
2313745568994,eduroam,24:de:c6:ec:59:81,2437,-84,542,false
2313745974365,SWTV_2436,00:26:66:87:04:b4,2457,-74,542,false
2313745509761,AL3436_5G,58:86:94:59:1c:82,5745,-80,542,false
2313745666584,Welcome_KAIST,24:de:c6:e3:40:90,5785,-79,542,false
2313745365520,AL3436,58:86:94:59:1c:80,2422,-66,542,false
2313745293618,DMBig,72:5d:cc:c2:c9:9c,2417,-66,542,false
2313745544622,ISNL2,2c:56:dc:84:e6:ac,5745,-84,542,false
2313745729616,mlvrlab,90:9f:33:a9:09:42,2442,-63,542,false
2313745666909,eduroam,24:de:c6:e3:40:91,5785,-79,542,false
2313745373370,eduroam,d8:c7:c8:df:21:70,5220,-61,542,false
2313745373854,Welcome_KAIST,d8:c7:c8:df:21:71,5220,-61,542,false
2313745544475,mlvrlab5G,90:9f:33:a8:09:42,5745,-75,542,false
2313745632343,ISNL1,2c:56:dc:84:e6:a8,2437,-69,542,false
2313745167705,eduroam,24:de:c6:e3:40:81,2412,-77,542,false
2313745628085,sungju5G,88:36:6c:ad:18:74,5765,-55,543,false
2313745318360,DIRECT-72-HP M479dw Color LJ,3a:ca:84:36:96:72,2422,-81,543,false
2313745511869,iptime2434-5g,90:9f:33:d7:ac:fa,5745,-77,543,false
2313745509350,SGVR,70:5d:cc:e3:01:36,2432,-82,543,false
2313745205813,Welcome_KAIST,d8:c7:c8:df:02:91,5180,-74,543,false
2313745205735,eduroam,d8:c7:c8:df:02:90,5180,-73,543,false
2313746037444,LOD2,8a:4e:c1:3a:a1:10,2462,-47,543,false
2313745712502,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:67,5785,-76,543,false
2313746058018,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:66,2462,-70,543,false
2313745716024,LOD2,8a:4f:c1:3a:a1:10,5785,-68,543,false
2313745206654,Lee2435_5G-2,70:5d:cc:dc:82:07,5180,-67,543,false
2313745237186,sungju,8a:36:6c:cd:18:74,2417,-53,543,false
2313745546189,Lee2435_5G-1,70:5d:cc:dc:82:09,5745,-66,543,false
2313745845484,SWTV2438,d4:5d:64:a0:6c:c0,2452,-67,543,false
2313745645711,DIRECT-TvDESKTOP-D7VMR5Nms9y,16:18:c3:9e:8f:c2,2437,-75,543,false
2313746051374,Lee2435,70:5d:cc:dc:82:05,2462,-50,543,false
2313746441587,SWTV2438-5G,d4:5d:64:a0:6c:c4,5500,-82,543,true
2313745645577,DIRECT-51-HP M254 LaserJet,da:9c:67:d2:04:51,2437,-55,543,false
2313746025028,one8sky,88:1f:a1:3a:c1:4e,2462,-49,543,false
2313745715515,LOD2,88:1f:a1:3a:c1:4f,5785,-67,543,false
2313745797300,lemontree,60:38:e0:c4:e8:9a,5805,-54,543,false
2313745797772,kaist_nlp,60:38:e0:c4:e8:9b,5805,-54,543,false
2313746065943,kaist_nlp,60:38:e0:c4:e8:9c,2462,-57,543,false
2313745604483,DIRECT-25-HP ,16:cb:19:13:89:25,2437,-75,543,false
2313746073024,lemontree,60:38:e0:c4:e8:99,2462,-57,543,false
2313745207054,[cuberef]_E30AJT5503076V,40:ca:63:77:80:5b,2412,-64,543,false
2313745793499,iptime2434,90:9f:33:d7:ac:f8,2447,-56,543,false
2313745625006,HP-Print-ac-LaserJet 500,2c:6f:c9:1e:1f:ac,2437,-58,543,false
2313745567258,Welcome_KAIST,24:de:c6:ec:59:80,2437,-84,543,false
2313745568994,eduroam,24:de:c6:ec:59:81,2437,-84,543,false
2313745974365,SWTV_2436,00:26:66:87:04:b4,2457,-74,543,false
2313745509761,AL3436_5G,58:86:94:59:1c:82,5745,-80,543,false
2313745666584,Welcome_KAIST,24:de:c6:e3:40:90,5785,-79,543,false
2313745365520,AL3436,58:86:94:59:1c:80,2422,-66,543,false
2313745293618,DMBig,72:5d:cc:c2:c9:9c,2417,-66,543,false
2313745544622,ISNL2,2c:56:dc:84:e6:ac,5745,-84,543,false
2313745729616,mlvrlab,90:9f:33:a9:09:42,2442,-63,543,false
2313745666909,eduroam,24:de:c6:e3:40:91,5785,-79,543,false
2313745373370,eduroam,d8:c7:c8:df:21:70,5220,-61,543,false
2313745373854,Welcome_KAIST,d8:c7:c8:df:21:71,5220,-61,543,false
2313745544475,mlvrlab5G,90:9f:33:a8:09:42,5745,-75,543,false
2313745632343,ISNL1,2c:56:dc:84:e6:a8,2437,-69,543,false
2313745167705,eduroam,24:de:c6:e3:40:81,2412,-77,543,false
2313745628085,sungju5G,88:36:6c:ad:18:74,5765,-55,544,false
2313745318360,DIRECT-72-HP M479dw Color LJ,3a:ca:84:36:96:72,2422,-81,544,false
2313745511869,iptime2434-5g,90:9f:33:d7:ac:fa,5745,-77,544,false
2313745509350,SGVR,70:5d:cc:e3:01:36,2432,-82,544,false
2313745205813,Welcome_KAIST,d8:c7:c8:df:02:91,5180,-74,544,false
2313745205735,eduroam,d8:c7:c8:df:02:90,5180,-73,544,false
2313746037444,LOD2,8a:4e:c1:3a:a1:10,2462,-47,544,false
2313745712502,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:67,5785,-76,544,false
2313746058018,maengsr의 Wi-Fi 네트워크,64:a5:c3:63:df:66,2462,-70,544,false
2313745716024,LOD2,8a:4f:c1:3a:a1:10,5785,-68,544,false
2313745206654,Lee2435_5G-2,70:5d:cc:dc:82:07,5180,-67,544,false
2313745237186,sungju,8a:36:6c:cd:18:74,2417,-53,544,false
2313745546189,Lee2435_5G-1,70:5d:cc:dc:82:09,5745,-66,544,false
2313745845484,SWTV2438,d4:5d:64:a0:6c:c0,2452,-67,544,false
2313745645711,DIRECT-TvDESKTOP-D7VMR5Nms9y,16:18:c3:9e:8f:c2,2437,-75,544,false
2313746051374,Lee2435,70:5d:cc:dc:82:05,2462,-50,544,false
2313746441587,SWTV2438-5G,d4:5d:64:a0:6c:c4,5500,-82,544,true
2313745645577,DIRECT-51-HP M254 LaserJet,da:9c:67:d2:04:51,2437,-55,544,false
2313746025028,one8sky,88:1f:a1:3a:c1:4e,2462,-49,544,false
2313745715515,LOD2,88:1f:a1:3a:c1:4f,5785,-67,544,false
2313745797300,lemontree,60:38:e0:c4:e8:9a,5805,-54,544,false
2313745797772,kaist_nlp,60:38:e0:c4:e8:9b,5805,-54,544,false
2313746065943,kaist_nlp,60:38:e0:c4:e8:9c,2462,-57,544,false
2313745604483,DIRECT-25-HP ,16:cb:19:13:89:25,2437,-75,544,false
2313746073024,lemontree,60:38:e0:c4:e8:99,2462,-57,544,false
2313745207054,[cuberef]_E30AJT5503076V,40:ca:63:77:80:5b,2412,-64,544,false
2313745793499,iptime2434,90:9f:33:d7:ac:f8,2447,-56,544,false
2313745625006,HP-Print-ac-LaserJet 500,2c:6f:c9:1e:1f:ac,2437,-58,544,false
2313745567258,Welcome_KAIST,24:de:c6:ec:59:80,2437,-84,544,false
2313745568994,eduroam,24:de:c6:ec:59:81,2437,-84,544,false
